risque,gain,revalorisation
0.89,62325447.98754743,0.1
0.90,57120339.4478676,0.05791960474653197
0.91,54525330.02742541,0.0387097185536679
0.92,54525330.02742541,0.0387097185536679
0.93,54113697.09574055,0.0331543136609711
0.94,54113697.09574055,0.0331543136609711
0.95,52369230.37871826,0.016978148149157112
